"id","quote","author"
"626","We Can Complain Because Rose Bushes Have Thorns, Or Rejoice Because Thorn Bushes Have Roses.","Abraham Lincoln"
"627","The Love Of Heaven Makes One Heavenly.","William Shakespeare"
"628","Let Us Live So That When We Come To Die Even The Undertaker Will Be Sorry.","Mark Twain"
"629","God Does Not Play Dice.","Albert Einstein"
"630","Pride in the case of a rich man is bad, but pride in the case of a poor man is worse.","Abu Bakr (R.A)"
"631","I say get an education. Become an electrician, a mechanic, a doctor, a lawyer, anything but a fighter. In this trade, it's the managers that make the money and last the longest.","Muhammad Ali"
"632","Raise your words, not voice. It is rain that grows flowers, not thunder.","Rumi"
"633","For those who practice tyranny and deprive others of their rights, I will be harsh and stern, but for those who follow the law, I will be most soft and tender.","Umar ibn Al-Khattāb (R.A)"
"634","Without your involvement you can't succeed. With your involvement you can't fail.","Abdul Kalam"
"635","Do not feel lonely on the road of righteousness Because of the fewness of the walkers on it.","Ali ibn Abi Talib (R.A)"
"636","A hopeless man sees difficulties in every chance, but a hopeful person sees chances in every difficulty.","Ali ibn Abi Talib (R.A)"
"637","Politics Is For The Present, But An Equation Is For Eternity.","Albert Einstein"
"638","Be melting snow. Wash yourself of yourself.","Rumi"
"639","Tricks And Treachery Are The Practice Of Fools, That Don'T Have Brains Enough To Be Honest.","Benjamin Franklin"
"640","When Obstacles Arise, You Change Your Direction To Reach Your Goal; You Do Not Change Your Decision To Get There.","Zig Ziglar"
"641","Great Ideas Originate In The Muscles.","Thomas A. Edison"
"642","Let The Wife Make The Husband Glad To Come Home, And Let Him Make Her Sorry To See Him Leave.","Martin Luther"
"643","A Subject For A Great Poet Would Be God'S Boredom After The Seventh Day Of Creation.","Friedrich Nietzsche"
"644","When A Man Is Out Of Sight, It Is Not Too Long Before He Is Out Of Mind.","Victor Hugo"
"645","Let the beauty of what you love be what you do.","Rumi"
"646","You Cannot Escape The Responsibility Of Tomorrow By Evading It Today.","Abraham Lincoln"
"647","We'Ve All Got Both Light And Dark Inside Us. What Matters Is The Part We Choose To Act On. That'S Who We Really Are.","J. K. Rowling"
"648","The art of knowing is knowing what to ignore.","Rumi"
"649","It Ain'T What You Don'T Know That Gets You Into Trouble. It'S What You Know For Sure That Just Ain'T So.","Mark Twain"
"650","The death of a thousand worshipers is easier to bear than the death of a scholar who has knowledge of what Allah has permitted and forbidden.","Umar ibn Al-Khattāb (R.A)"
"651","A Place For Everything, Everything In Its Place.","Benjamin Franklin"
"652","Heart is a sea, language is the shore. Whatever is in a sea hits the shore.","Rumi"
"653","My way of joking is to tell the truth. That's the funniest joke in the world.","Muhammad Ali"
"654","Lord, Lord, How Subject We Old Men Are To This Vice Of Lying!","William Shakespeare"
"655","An Intelligent Hell Would Be Better Than A Stupid Paradise.","Victor Hugo"
"656","Where The Spirit Does Not Work With The Hand, There Is No Art.","Leonardo Da Vinci"
"657","Why Do They Call It Rush Hour When Nothing Moves?","Robin Williams"
"658","History Is More Or Less Bunk.","Henry Ford"
"659","May Allah have mercy on him who sends me my faults as a present.","Umar ibn Al-Khattāb (R.A)"
"660","Whoever knocks persistently, ends by entering.","Muhammad Ali"
"661","When The Going Gets Weird, The Weird Turn Pro.","Hunter S. Thompson"
"662","The Only True Wisdom Is In Knowing You Know Nothing.","Socrates"
"663","Never Mistake Motion For Action.","Ernest Hemingway"
"664","People's hearts are like wild animals. They attach their selves to those that love and train them.","Ali ibn Abi Talib (R.A)"
"665","Know thyself, and thou shalt know God.","Ali ibn Abi Talib (R.A)"
"666","Death is teacher enough, true faith is wealth enough, and worship is action enough.","Umar ibn Al-Khattāb (R.A)"
"667","Monsters Are Real, And Ghosts Are Real Too. They Live Inside Us, And Sometimes, They Win.","Stephen King"
"668","Live life as if its rigged in your favor.","Rumi"
"669","Mine Is Better Than Ours.","Benjamin Franklin"
"670","To speak less is wisdom, to eat less is healthy, and to mingle less with te people is safe and serene.","Umar ibn Al-Khattāb (R.A)"
"671","The truth was a mirror in the hands of God. It fell, and broke into pieces. Everybody took a piece of it, and they looked at it and thought they had the truth.","Rumi"
"672","If you expect the blessings of God, be kind to His people.","Abu Bakr (R.A)"
"673","But Men Are Men; The Best Sometimes Forget.","William Shakespeare"
"674","The Service you do for others is the rent you pay for your room here on Earth.","Muhammad Ali"
"675","There's nothing wrong with getting knocked down, as long as you get right back up.","Muhammad Ali"
"676","Do not use the sharpness of your speech on your mother who taught you how to speak.","Ali ibn Abi Talib (R.A)"
"677","Means We Use Must Be As Pure As The Ends We Seek.","Martin Luther King, Jr."
"678","In General, Mankind, Since The Improvement Of Cookery, Eats Twice As Much As Nature Requires.","Benjamin Franklin"
"679","I Have Offended God And Mankind Because My Work Didn'T Reach The Quality It Should Have.","Leonardo Da Vinci"
"680","I Want To Know All Gods Thoughts; All The Rest Are Just Details.","Albert Einstein"
"681","A Man Should Never Neglect His Family For Business.","Walt Disney"
"682","He That Is Good For Making Excuses Is Seldom Good For Anything Else.","Benjamin Franklin"
"683","The Essence Of All Beautiful Art, All Great Art, Is Gratitude.","Friedrich Nietzsche"
"684","Thy lot or portion of life is seeking after thee; therefore be at rest from seeking after it.","Ali ibn Abi Talib (R.A)"
"685","Sell your cleverness and buy bewilderment.","Rumi"
"686","He That Composes Himself Is Wiser Than He That Composes A Book.","Benjamin Franklin"
"687","Human Beings Are The Only Creatures On Earth That Allow Their Children To Come Back Home.","Bill Cosby"
"688","Kindness Is The Language Which The Deaf Can Hear And The Blind Can See.","Mark Twain"
"689","The Hunger For Love Is Much More Difficult To Remove Than The Hunger For Bread.","Mother Teresa"
"690","Anything That Won'T Sell, I Don'T Want To Invent. Its Sale Is Proof Of Utility, And Utility Is Success.","Thomas A. Edison"
"691","Failure Is Simply The Opportunity To Begin Again, This Time More Intelligently.","Henry Ford"
"692","Only Two Things Are Infinite, The Universe And Human Stupidity, And I'M Not Sure About The Former.","Albert Einstein"
"693","When the world pushes you to your knees, you're in the perfect position to pray.","Rumi"
"694","Be Happy In The Moment, That'S Enough. Each Moment Is All We Need, Not More.","Mother Teresa"
"695","Islam will be destroyed by the mistakes of scholars, the arguments of the hypocrites who misinterpret the Qur'an to support their views and misleading rulers.","Umar ibn Al-Khattāb (R.A)"
"696","Knowledge is the life of the mind.","Abu Bakr (R.A)"
"697","Wisdom is like the rain. Its source is limitless, but it comes down according to the season.","Rumi"
"698","This Is One Small Step For A Man, One Giant Leap For Mankind.","Neil Armstrong"
"699","If You Don'T Like Something, Change It. If You Can'T Change It, Change Your Attitude.","Maya Angelou"
"700","Do not be misled by hearing of anyone's reputation.","Umar ibn Al-Khattāb (R.A)"
"701","Virtue Is Not Left To Stand Alone. He Who Practices It Will Have Neighbors.","Confucius"
"702","Think Of All The Beauty Still Left Around You And Be Happy.","Anne Frank"
"703","In Modern War... You Will Die Like A Dog For No Good Reason.","Ernest Hemingway"
"704","Not every man with a heart is understanding, nor every man with an ear a listener, and nor every man with eyes able to see.","Ali ibn Abi Talib (R.A)"
"705","Allah is the Greatest. I'm just the greatest boxer.","Muhammad Ali"
"706","The disease of the heart is worse than the disease of the body.","Ali ibn Abi Talib (R.A)"
"707","We must think and act like a nation of a billion people and not like that of a million people. Dream, dream, dream!","Abdul Kalam"
"708","When mother is happy, family is happy. When family is happy, nation is happy.","Abdul Kalam"
"709","The Miracle Is Not That We Do This Work, But That We Are Happy To Do It.","Mother Teresa"
"710","Impossible is just a big word thrown around by small men who find it easier to live in the world they've been given than to explore the power they have to change it.","Muhammad Ali"
"711","My Father Always Told Me That All Businessmen Were Sons Of Bitches, But I Never Believed It Till Now.","John F. Kennedy"
"712","It's the lack of faith that makes people afraid of meeting challenges, and I believe in myself. He who is not courageous enough to take risks will accomplish nothing in life. I figured that if I said it enough, I would convince the world that I really was the greatest.","Muhammad Ali"
"713","We Must Believe That We Are Gifted For Something, And That This Thing, At Whatever Cost, Must Be Attained.","Marie Curie"
"714","Do not look down upon any Muslim, for even the most inferior believer is great in the eyes of God.","Abu Bakr (R.A)"
"715","Be good to others, that will protect you against evil.","Abu Bakr (R.A)"
"716","I am an ordinary man who worked hard to develop the talent I was given.","Muhammad Ali"
"717","Inside you there's an artist you don't know about.","Rumi"
"718","All birds find shelter during a rain. But eagle avoids rain by flying above the clouds. Problems are common, but attitude makes the difference.","Abdul Kalam"
"719","Chains Of Habit Are Too Light To Be Felt Until They Are Too Heavy To Be Broken.","Warren Buffett"
"720","To Love Another Person Is To See The Face Of God.","Victor Hugo"
"721","Failure Is A Detour, Not A Dead-End Street.","Zig Ziglar"
"722","English is necessary as at present original works of science are in English. I believe that in two decades times original works of science will start coming out in our languages. Then we can move over like the Japanese.","Abdul Kalam"
"723","The Right Word May Be Effective, But No Word Was Ever As Effective As A Rightly Timed Pause.","Mark Twain"
"724","Let Blockheads Read What Blockheads Wrote.","Warren Buffett"
"725","I Cannot Discover That Anyone Knows Enough To Say Definitely What Is And What Is Not Possible.","Henry Ford"
"726","Look at the sky. We are not alone. The whole universe is friendly to us and conspires only to give the best to those who dream and work.","Abdul Kalam"
"727","Joy In Looking And Comprehending Is Nature'S Most Beautiful Gift.","Albert Einstein"
"728","Play The Game For More Than You Can Afford To Lose... Only Then Will You Learn The Game.","Winston Churchill"
"729","I don't always know what I'm talking about, but I know I'm right.","Muhammad Ali"
"730","In this world, fear has no place. Only strength respects strength.","Abdul Kalam"
"731","Spirituality is recognizing the divine light that is within us all. It doesn't belong to any particular religion; it belongs to everyone.","Muhammad Ali"
"732","A Lie Gets Halfway Around The World Before The Truth Has A Chance To Get Its Pants On.","Winston Churchill"
"733","No one has ever suffered from his people as I have.","Ali ibn Abi Talib (R.A)"
"734","Fear the sins that you commit in secret, because the Witness of those sins is the Judge Himself!","Ali ibn Abi Talib (R.A)"
"735","Life is balance of holding on and letting go.","Rumi"
"736","Only A Philosophy Of Eternity, In The World Today, Could Justify Non-Violence.","Albert Camus"
"737","The relation of patience to iman is like the relation of the head to the body. If the head is chopped off, the body becomes useless. Then he raised his voice and said: Certainly, the one who has no patience has no iman, and patience is like a riding-beast that nevers gets tired.","Ali ibn Abi Talib (R.A)"
"738","The Attempt And Not The Deed Confounds Us.","William Shakespeare"
"739","Think Of All The Beauty Still Left Around You And Be Happy.","Anne Frank"
"740","Why Shouldn'T Truth Be Stranger Than Fiction? Fiction, After All, Has To Make Sense.","Mark Twain"
"741","You Know Why Divorces Are So Expensive? They'Re Worth It.","Willie Nelson"
"742","The Price Of Greatness Is Responsibility.","Winston Churchill"
"743","When learning is purposeful, creativity blossoms. When creativity blossoms, thinking emanates. When thinking emanates, knowledge is fully lit. When knowledge is lit, economy flourishes.","Abdul Kalam"
"744","If you want to shine like the sun, first burn like the sun.","Abdul Kalam"
"745","You were born with wings, why prefer to crawl through life?","Rumi"
"746","Familiarity Breeds Contempt - And Children.","Mark Twain"
"747","What you seek is seeking you.","Rumi"
"748","What is the secret of success? Right decisions. How do you make right decisions? Experience. How do you gain experience? Wrong decisions.","Abdul Kalam"
"749","In All Things Of Nature There Is Something Of The Marvelous.","Aristotle"
"750","What regresses, never progresses.","Umar ibn Al-Khattāb (R.A)"
"751","I want to sing like the birds sing, not worrying about who hears or what they think.","Rumi"
"752","For The Woman, The Man Is A Means: The End Is Always The Child.","Friedrich Nietzsche"
"753","If you want to control other people, first control yourself.","Abu Bakr (R.A)"
"754","Patience is of two kinds: patience over what pains you, and patience against what you covet.","Ali ibn Abi Talib (R.A)"
"755","A Person Who Won'T Read Has No Advantage Over One Who Can'T Read.","Mark Twain"
"756","Muslims should live like brothers.","Abu Bakr (R.A)"
"757","I Will Carry On Writing, To Be Sure. But I Don'T Know If I Would Want To Publish Again After Harry Potter.","J. K. Rowling"
"758","Do not be misled by appearances for these are apt to be deceptive.","Ali ibn Abi Talib (R.A)"
"759","When Everything Seems To Be Going Against You, Remember That The Airplane Takes Off Against The Wind, Not With It.","Henry Ford"
"760","If you are irritated by every rub, how will your mirror be polished?","Rumi"
"761","If Music Be The Food Of Love, Play On, Give Me Excess Of It; That Surfeiting, The Appetite May Sicken, And So Die.","William Shakespeare"
"762","I Used To Think The Worst Thing In Life Was To End Up All Alone. It'S Not. The Worst Thing In Life Is To End Up With People Who Make You Feel All Alone.","Robin Williams"
"763","There comes a time in every person's life when he has to choose the course his life will take.","Muhammad Ali"
"764","Imagination Will Often Carry Us To Worlds That Never Were. But Without It We Go Nowhere.","Carl Sagan"
"765","A man's behavior is the index of the man, and his discourse is the index of his understanding.","Ali ibn Abi Talib (R.A)"
"766","Frazier's got two chances. Slim, and none. And Slim just left town.","Muhammad Ali"
"767","Out beyond ideas of wrongdoing and rightdoing there is a field. I'll meet you there. When the soul lies down in that grass the world is too full to talk about.","Rumi"
"768","Seek knowledge and teach it to people. Learn dignity and tranquillity, and be humble towards those from whom you learn knowledge and be humble towards those to whom you teach it, and do not be tyrannical scholar otherwise your knowledge cannot be established because of your tyranny.","Umar ibn Al-Khattāb (R.A)"
"769","Even When Laws Have Been Written Down, They Ought Not Always To Remain Unaltered.","Aristotle"
"770","The middle path is the way to wisdom.","Rumi"
"771","I Have Decided To Stick With Love. Hate Is Too Great A Burden To Bear.","Martin Luther King  Jr."
"772","This place is a dream. Only a sleeper considers it real. Then death comes like dawn, and you wake up laughing at what you thought was your grief.","Rumi"
"773","Get used to a rough life, for luxury does not last forever.","Umar ibn Al-Khattāb (R.A)"
"774","You have to dream before your dreams can come true.","Abdul Kalam"
"775","We Must Be Global Christians With A Global Vision Because Our God Is A Global God.","John Stott"
"776","Both Oligarch And Tyrant Mistrust The People, And Therefore Deprive Them Of Their Arms.","Aristotle"
"777","Scientific Thought And Its Creation Is The Common And Shared Heritage Of Mankind.","Abdus Salam"
"778","Be Careless In Your Dress If You Will, But Keep A Tidy Soul.","Mark Twain"
"779","Intentions count in your actions.","Abu Bakr (R.A)"
"780","He Who Learns But Does Not Think, Is Lost. He Who Thinks But Does Not Learn Is In Great Danger.","Confucius"
"781","It's lack of faith that makes people afraid of meeting challenges, and I believed in myself.","Muhammad Ali"
"782","Many A Good Hanging Prevents A Bad Marriage.","William Shakespeare"
"783","Common Sense Is The Collection Of Prejudices Acquired By Age Eighteen.","Albert Einstein"
"784","If you look at the world the same way when you're 50 that you did when you were 20, then you wasted 30 years.","Muhammad Ali"
"785","Cursed Is The Man Who Dies, But The Evil Done By Him Survives.","Abu Bakr"
"786","The Trouble With Censors Is That They Worry If A Girl Has Cleavage. They Ought To Worry If She Hasn'T Any.","Marilyn Monroe"
"787","God blesses him who helps his brother.","Abu Bakr (R.A)"
"788","Wherever You Go, Go With All Your Heart.","Confucius"
"789","He who does now know evil will fall into it.","Umar ibn Al-Khattāb (R.A)"
"790","Courage Is Grace Under Pressure.","Ernest Hemingway"
"791","By Failing To Prepare, You Are Preparing To Fail.","Benjamin Franklin"
"792","Adversity always presents opportunities for introspection.","Abdul Kalam"
"793","Achieving Life Is Not The Equivalent Of Avoiding Death.","Ayn Rand"
"794","Do not be deceived by a man's eloquence; rather whoever fulfils trusts and refrains from impugning people's honour is a real man.","Umar ibn Al-Khattāb (R.A)"
"795","What counts in the ring is what you can do after you're exhausted. The same is true of life.","Muhammad Ali"
"796","No wealth like education and no poverty like ignorance.","Ali ibn Abi Talib (R.A)"
"797","Is Man One Of God'S Blunders? Or Is God One Of Man'S Blunders?","Friedrich Nietzsche"
"798","Let yourself be silently drawn by the stronger pull of what you really love. In the depths there is a spring with all the water your heart is thirsty for.","Rumi"
"799","The Past Is A Ghost, The Future A Dream, And All We Ever Have Is Now.","Bill Cosby"
"800","In The Business World, The Rearview Mirror Is Always Clearer Than The Windshield.","Warren Buffett"
"801","Appear as you are, Be as you appear.","Rumi"
"802","Divine Life Is In Touch With The Whole Universe On The Analogy Of The Soul'S Contact With The Body.","Muhammed Iqbal"
"803","I believe in the religion of Islam. I believe in Allah and peace.","Muhammad Ali"
"804","Be A Yardstick Of Quality. Some People Aren'T Used To An Environment Where Excellence Is Expected.","Steve Jobs"
"805","Many A Man Thinks He Is Buying Pleasure, When He Is Really Selling Himself To It.","Benjamin Franklin"
"806","The sin which makes you sad and repentant is more liked by Allah than the good deed which turns you arrogant.","Ali ibn Abi Talib (R.A)"
"807","Inside of a ring or out, ain't nothing wrong with going down. It's staying down that's wrong.","Muhammad Ali"
"808","In Order To Exist Just Once In The World, It Is Necessary Never Again To Exist.","Albert Camus"
"809","Faith Is Taking The First Step Even When You Don'T See The Whole Staircase.","Martin Luther King, Jr."
"810","Nothing can nourish the SOUL but LIGHT.","Rumi"
"811","The Only True Wisdom Is In Knowing You Know Nothing.","Socrates"
"812","True friends are a single soul divided between different bodies.","Ali ibn Abi Talib (R.A)"
"813","Don’T Let The Noise Of Others’ Opinions Drown Out Your Own Inner Voice.","Steve Jobs"
"814","Do we not realize that self respect comes with self reliance?","Abdul Kalam"
"815","A Prisoner Of War Is A Man Who Tries To Kill You And Fails, And Then Asks You Not To Kill Him.","Winston Churchill"
"816","I belong to no religion. My religion is love. Every heart is my temple.","Rumi"
"817","All loves are a bridge to Divine love. Yet, those who have not had a taste of it do not know!","Rumi"
"818","Bring the pure wine of love and freedom. But sir, a tornado is coming. More wine, we'll teach this storm A thing or two about whirling.","Rumi"
"819","Great dreams of great dreamers are always transcended.","Abdul Kalam"
"820","Failure Is A Detour, Not A Dead-End Street.","Zig Ziglar"
"821","Hide the good you do, and make known the good done to you.","Ali ibn Abi Talib (R.A)"
"822","Body is purified by water. Ego by tears. Intellect is purified by knowledge. And soul is purified with love.","Ali ibn Abi Talib (R.A)"
"823","Far And Away The Best Prize That Life Has To Offer Is The Chance To Work Hard At Work Worth Doing.","Theodore Roosevelt"
"824","A Goal Properly Set Is Halfway Reached.","Zig Ziglar"
"825","Authority, power, and wealth do not change a man; they only reveal him.","Ali ibn Abi Talib (R.A)"
"826","Pure Mathematics Is, In Its Way, The Poetry Of Logical Ideas.","Albert Einstein"
"827","You Can'T Deny Laughter; When It Comes, It Plops Down In Your Favorite Chair And Stays As Long As It Wants.","Stephen King"
"828","The Educated Differ From The Uneducated As Much As The Living From The Dead.","Aristotle"
"829","The only limitations one has, are the ones they place on themselves.","Muhammad Ali"
"830","A Good Conscience Is A Continual Christmas.","Benjamin Franklin"
"831","Behind All Their Personal Vanity, Women Themselves Always Have An Impersonal Contempt For Woman.","Friedrich Nietzsche"
"832","Let'S Pray That The Human Race Never Escapes From Earth To Spread Its Iniquity Elsewhere.","C. S. Lewis"
"833","Spread Love Everywhere You Go. Let No One Ever Come To You Without Leaving Happier.","Mother Teresa"
"834","Do not follow vain desires; for verily he who prospers is preserved from lust, greed and anger.","Abu Bakr (R.A)"
"835","What Would Be Ugly In A Garden Constitutes Beauty In A Mountain.","Victor Hugo"
"836","Turn Your Wounds Into Wisdom.","Oprah Winfrey"
"837","Either you are just or unjust. If you are just, then you will not keep aloof from the people, but will listen to them and meet their requirements. But if you are unjust, the people themselves will keep away from you.","Ali ibn Abi Talib (R.A)"
"838","You've seen my descent, now watch my rising.","Rumi"
"839","Be Brave. Take Risks. Nothing Can Substitute Experience.","Paulo Coelho"
"840","At night, I open the window and ask the moon to come and press its face against mine. Breathe into me. Close the language-door and open the love-window. The moon won't use the door, only the window.","Rumi"
"841","The word 'Islam' means 'peace.' The word 'Muslim' means 'one who surrenders to God.' But the press makes us seem like haters.","Muhammad Ali"
"842","Faith Is Permitting Ourselves To Be Seized By The Things We Do Not See.","Martin Luther"
"843","A Nation That Continues Year After Year To Spend More Money On Military Defense Than On Programs Of Social Uplift Is Approaching Spiritual Doom.","Martin Luther King  Jr."
"844","A Riot Is At Bottom The Language Of The Unheard.","Martin Luther King, Jr."
"845","As Soon Go Kindle Fire With Snow, As Seek To Quench The Fire Of Love With Words.","William Shakespeare"
"846","Don'T Let Schooling Interfere With Your Education.","Mark Twain"
"847","Those doing soul work, who want the searing truth more than solace or applause, know each other right away. Those who want something else turn and take a seat in another room. Soul-makers find each other's company.","Rumi"
"848","Almost All Our Desires, When Examined, Contain Something Too Shameful To Reveal.","Victor Hugo"
"849","Intellectuals Solve Problems, Geniuses Prevent Them.","Albert Einstein"
"850","All is known in the sacredness of silence.","Rumi"
"851","Nations consist of people. And with their effort, a nation can accomplish all it could ever want.","Abdul Kalam"
"852","Reality Is Merely An Illusion, Albeit A Very Persistent One.","Albert Einstein"
"853","He That Displays Too Often His Wife And His Wallet Is In Danger Of Having Both Of Them Borrowed.","Benjamin Franklin"
"854","Set your life on fire. Seek those who fan your flames.","Rumi"
"855","Let Us Not Be Too Particular; It Is Better To Have Old Secondhand Diamonds Than None At All.","Mark Twain"
"856","I know you're tired but come, this is the way.","Rumi"
"857","Become Dust - And They Will Throw Thee In The Air; Become Stone - And They Will Throw Thee On Glass.","Muhammad Iqbal"
"858","To Hell With Circumstances; I Create Opportunities.","Bruce Lee"
"859","My worthiness is all my doubt His Merit- all my fear- Contrasting which my quality Does however appear.","Abdul Kalam"
"860","People are of two types, they are either your brothers in faith or your equals in humanity.","Ali ibn Abi Talib (R.A)"
"861","You are the soul of the soul of the universe, and your name is Love.","Rumi"
"862","I Didn'T Attend The Funeral, But I Sent A Nice Letter Saying I Approved Of It.","Mark Twain"
"863","A thousand half-loves must be forsaken to take one whole heart home.","Rumi"
"864","Disneyland Is A Show.","Walt Disney"
"865","Allah Will Help Him Who Moves In The Way Of Allah.","Abu Bakr"
"866","Hating people because of their color is wrong. And it doesn't matter which color does the hating. It's just plain wrong.","Muhammad Ali"
"867","Asceticism is not that you should not own anything, but that nothing should own you.","Ali ibn Abi Talib (R.A)"
"868","Character May Almost Be Called The Most Effective Means Of Persuasion.","Aristotle"
"869","Put yourself out on a limb, sucka, like me!","Muhammad Ali"
"870","I went inside my heart to see how it was. Something there makes me hear the whole world weeping.","Rumi"
"871","When my title was taken away boxing died.","Muhammad Ali"
"872","Hold yourselves accountable before you are held accountable.","Umar ibn Al-Khattāb (R.A)"
"873","Do Not Be Too Hard, Lest You Be Broken; Do Not Be Too Soft, Lest You Be Squeezed.","Ali Ibn Abi Talib"
"874","I Have Tried Lately To Read Shakespeare, And Found It So Intolerably Dull That It Nauseated Me.","Charles Darwin"
"875","We All Live With The Objective Of Being Happy; Our Lives Are All Different And Yet The Same.","Anne Frank"
"876","Perfecting one's intellect causes one to speak less, and those words spoken will be adorned with wisdom.","Ali ibn Abi Talib (R.A)"
"877","For Where God Built A Church, There The Devil Would Also Build A Chapel.","Martin Luther"
"878","The true believer is rewarded in every thing, even in affliction.","Abu Bakr (R.A)"
"879","In the silence of LOVE you will find the Spark of LIFE.","Rumi"
"880","A Happy Marriage Is The Union Of Two Good Forgivers.","Ruth Graham"
"881","Be a lamp, or a lifeboat, or a ladder. Help someone's soul heal. Walk out of your house like a shepherd.","Rumi"
"882","Lovers don't finally meet somewhere. They're in each other all along.","Rumi"
"883","It Has Become Appallingly Obvious That Our Technology Has Exceeded Our Humanity.","Albert Einstein"
"884","Learning Never Exhausts The Mind.","Leonardo Da Vinci"
"885","I Don'T Want To Make Money, I Just Want To Be Wonderful.","Marilyn Monroe"
"886","Look Deep Into Nature, And Then You Will Understand Everything Better.","Albert Einstein"
"887","When A Father Gives To His Son, Both Laugh; When A Son Gives To His Father, Both Cry.","William Shakespeare"
"888","Buy The Ticket, Take The Ride.","Hunter S. Thompson"
"889","Efforts And Courage Are Not Enough Without Purpose And Direction.","John F. Kennedy"
"890","Youth is not restored by the dyeing of your hair.","Abu Bakr (R.A)"
"891","The Two Hardest Tests On The Spiritual Road Are The Patience To Wait For The Right Moment And The Courage Not To Be Disappointed With What We Encounter.","Paulo Coelho"
"892","Imagination Is More Important Than Knowledge. Knowledge Is Limited. Imagination Encircles The World.","Albert Einstein"
"893","If You'Re Going To Be Crazy, You Have To Get Paid For It Or Else You'Re Going To Be Locked Up.","Hunter S. Thompson"
"894","I Was Not Created To Be Occupied By Eating Delicious Foods Like Tied Up Cattle.","Ali Ibn Abi Talib"
"895","Not Life, But Good Life, Is To Be Chiefly Valued.","Socrates"
"896","Shine like the whole universe is yours.","Rumi"
"897","I'm a fighter. I believe in the eye-for-an-eye business. I'm no cheek turner. I got no respect for a man who won't hit back. You kill my dog, you better hide your cat.","Muhammad Ali"
"898","The More You Like Yourself, The Less You Are Like Anyone Else, Which Makes You Unique.","Walt Disney"
"899","Lovely days don't come to you, you should walk to them.","Rumi"
"900","When I Hear A Man Preach, I Like To See Him Act As If He Were Fighting Bees.","Abraham Lincoln"
"901","You see, God helps only people who work hard. That principle is very clear.","Abdul Kalam"
"902","I've wrestled with alligators, I've tussled with a whale. I done handcuffed lightning and thrown thunder in jail. You know I'm bad. Just last week, I murdered a rock, injured a stone, hospitalized a brick. I'm so mean, I make medicine sick.","Muhammad Ali"
"903","The youth need to be enabled to become job generators from job seekers.","Abdul Kalam"
"904","I Like To Listen. I Have Learned A Great Deal From Listening Carefully. Most People Never Listen.","Ernest Hemingway"
"905","Try as much as you can to mention death. For if you were having hard times in your life, then it would give you more hope and would ease things for you. And if you were having abundant affluence of living in luxury, then it would make it less luxurious.","Umar ibn Al-Khattāb (R.A)"
"906","Do not be an arrogant scholar, for scholarship cannot subsist with arrogance.","Umar ibn Al-Khattāb (R.A)"
"907","Experience Does Not Err. Only Your Judgments Err By Expecting From Her What Is Not In Her Power.","Leonardo Da Vinci"
"908","Our Greatest Fear Should Not Be Of Failure But Of Succeeding At Things In Life That Don'T Really Matter.","Francis Chan"
"909","Allah loves moderation and hates extravagance and excess.","Umar ibn Al-Khattāb (R.A)"
"910","Everyone Should Be Respected As An Individual, But No One Idolized.","Albert Einstein"
"911","The lamps are different, but the Light is the same. One matter, one energy, one Light, one Light-mind, endlessly emanating all things.","Rumi"
"912","My Mission In Life Is Not Merely To Survive, But To Thrive; And To Do So With Some Passion, Some Compassion, Some Humor, And Some Style","Maya Angelou"
"913","Good actions are a guard against the blows of adversity.","Abu Bakr (R.A)"
"914","There is greatness in the fear of God, contentment in faith of God, and honour in humility.","Abu Bakr (R.A)"
"915","I'm the greatest, I'm a bad man, and I'm pretty!","Muhammad Ali"
"916","No Man Is Justified In Doing Evil On The Ground Of Expedience.","Theodore Roosevelt"
"917","Patriotism Means To Stand By The Country. It Does Not Mean To Stand By The President.","Theodore Roosevelt"
"918","With God In Charge, I Believe Everything Will Work Out For The Best In The End.","Henry Ford"
"919","The nourishment of body is food, while the nourishment of the soul is feeding others.","Ali ibn Abi Talib (R.A)"
"920","There is no goodness in people who don't give advice, and there is no goodness in people who don't like to be advised.","Umar ibn Al-Khattāb (R.A)"
"921","The Whole Of Science Is Nothing More Than A Refinement Of Everyday Thinking.","Albert Einstein"
"922","When we tackle obstacles, we find hidden reserves of courage and resilience we did not know we had. And it is only when we are faced with failure do we realise that these resources were always there within us. We only need to find them and move on with our lives.","Abdul Kalam"
"923","I Like My Wine Like My Women - Ready To Pass Out.","Robin Williams"
"924","Just Go Up To Somebody On The Street And Say ""You'Re It!"" And Then Run Away.","Ellen DeGeneres"
"925","Champions aren't made in gyms. Champions are made from something they have deep inside them - a desire, a dream, a vision. They have to have the skill, and the will. But the will must be stronger than the skill.","Muhammad Ali"
"926","Wars Are Caused By Undefended Wealth.","Ernest Hemingway"
"927","Never, Never And Never Again Shall It Be That This Beautiful Land Will Again Experience The Oppression Of One By Another.","Nelson Mandela"
"928","There's nothing stressful about turning 50 except people reminding you about it.","Muhammad Ali"
"929","Microsoft Is Not About Greed. It'S About Innovation And Fairness.","Bill Gates"
"930","When you see that any scholar loves the world, then his scholarship is in doubt.","Umar ibn Al-Khattāb (R.A)"
"931","The Roots Of All Goodness Lie In The Soil Of Appreciation For Goodness.","Dalai Lama"
"932","You Don'T Have To Be Great To Start, But You Have To Start To Be Great","Zig Ziglar"
